,id_client,amount,total_purchase,recency
547,06682662602,1,0.0,1197
548,066b6A456bb,5,0.0,403
549,0680b22b698,1,0.0,1380
550,06834505652,3,0.0,961
551,06845AA03b9,1,0.0,1370
552,06848388424,2,0.0,1365
553,0685b8A364b,1,2663.9,638
554,0686553b645,1,33852.0,165
555,0690820b633,1,0.0,1004
556,06928330805,1,24500.0,62
557,069343A8650,2,14445.0,510
558,06936633838,1,3680.0,1464
559,06938565805,2,4850.0,233
560,06958343980,1,0.0,1374
561,0695AA53b52,1,0.0,1238
562,06964628932,1,0.0,30
563,06985264654,1,29095.5,383
564,06993436906,1,0.0,30
565,069948A3b62,1,5500.0,405
566,069995bb455,1,0.0,1378
567,069A6394bb3,4,102953.28,55
568,069A98b8b4b,1,30430.0,1610
569,069Ab650650,2,36980.0,216
570,069b050262b,2,0.0,477
571,069b06A6bAA,2,31236.4,1966
572,06A06664609,1,0.0,1346
573,06A36265320,5,121922.1,113
574,06A38399943,1,0.0,1370
575,06A39A0b6A0,1,0.0,1006
576,06A62bA0696,1,26000.0,1212
577,06A68522905,1,0.0,1370
578,06A89665608,1,37346.0,1437
579,06A92322694,2,0.0,210
580,06A96638556,1,0.0,1381
581,06Ab0445629,3,71359.7,981
582,06AbAAb49bA,1,0.0,1372
583,06Abb593836,1,0.0,1195
584,06b38944608,1,0.0,1101
585,06b3A84A6Ab,1,25096.5,1212
586,06b52998965,1,17096.44,1195
587,06b59532430,1,4500.0,402
588,06b839b59b5,1,0.0,1184
589,06b844346b6,1,26313.0,933
590,06b8903b608,2,6510.0,289
591,06b909A3602,1,34230.0,544
592,06b95AA4902,1,39980.0,887
593,06b986Ab69b,1,0.0,1380
594,06bA6258450,1,0.0,814
595,06bA6A32864,2,43989.0,208
596,06bA94806bb,1,30807.0,777
597,08008050624,2,0.0,824
598,0800A3098b8,2,0.0,863
599,0802Ab82943,1,0.0,475
600,08045bA8b22,2,35000.0,239
601,080552A9680,1,0.0,1171
602,08063042603,1,25096.5,1197
603,080892A99A8,1,0.0,1373
604,080A05AA692,1,32500.0,1361
605,080A2665646,1,0.0,1078
606,080b493A803,1,0.0,1364
607,080bA638b22,2,0.0,1204
608,082068266b0,1,0.0,1133
609,08233069680,1,34230.0,386
610,08239680b39,1,0.0,1079
611,0823A26A885,1,0.0,1378
612,08243Ab963A,1,26000.0,897
613,082490bb954,2,4590.0,1184
614,0825b93b428,1,0.0,1352
615,08294340626,1,30225.0,687
616,0829AA96630,3,18905.0,41
617,0830b688663,1,0.0,1372
618,0832909bbb3,2,22872.0,537
619,08329A46650,2,0.0,1182
620,08350028b00,1,0.0,1184
621,0838b428b44,1,13425.0,1353
622,0839b95bbb4,1,0.0,1091
623,083bAb2b640,1,30620.0,2109
624,084288964b0,1,0.0,1372
625,08445b42604,1,30225.0,1119
626,0844A9086A3,1,38100.0,2099
627,08450b55603,1,0.0,1386
628,084A0558408,2,22500.0,845
629,084A2b00660,1,27885.0,1187
630,084A92b995A,1,31984.0,819
631,084b503bbA2,1,34290.0,2051
632,0852526A998,2,35010.0,1202
633,0852A835850,1,0.0,1087
634,0852b090805,2,4050.0,504
635,0852b90A633,2,45882.0,532
636,085386659b9,1,0.0,1083
637,0854A8A9b0A,1,0.0,1377
638,0855A5bAb88,1,0.0,1072
639,0856b966b0A,2,0.0,1190
640,085986AA638,1,10080.0,1386
641,085Ab504b80,1,17996.25,1181
642,0865440484A,2,0.0,1681
643,086580A4606,1,0.0,1128
644,0865b636662,1,0.0,1023
645,0866A846609,1,0.0,1191
646,08683A928b3,1,0.0,1090
647,08686630693,1,33728.0,19
648,0868AA83893,2,0.0,852
649,0869024b8b4,1,4500.0,1336
650,0869430b693,1,26000.0,822
651,086A5AAAb40,2,28500.0,392
652,086A8b99963,2,0.0,776
653,086b32b8635,1,20900.0,1398
654,08800b6062b,1,0.0,477
655,088020946A6,1,0.0,1380
656,088094Ab828,1,0.0,478
657,0883b5A895A,1,0.0,1372
658,0884623A902,1,0.0,1376
659,0884A323663,1,26000.0,683
660,08858465b50,1,0.0,1392
661,0885b646688,1,0.0,1372
662,088A825A660,3,83433.8,85
663,088b98b56bA,1,32500.0,931
664,0892202b690,1,0.0,942
665,0894bb46622,1,30620.0,2079
666,08964469640,1,31433.0,247
667,089928A6642,1,32500.0,1195
668,089A2534b50,1,0.0,1387
669,089b9824955,2,0.0,306
670,089bb940605,1,44650.0,821
671,08A00b408b9,5,22410.0,596
672,08A05432498,1,4125.0,1106
673,08A23546483,1,0.0,1372
674,08A3045A69b,1,39980.0,653
675,08A4bbAAb35,1,0.0,1418
676,08A50892605,1,2992.0,1122
677,08A59Abb402,2,40500.0,1819
678,08A5A89b96A,1,4575.0,1108
679,08A604b2862,1,0.0,478
680,08A638406Ab,2,38493.0,61
681,08A86834494,1,21000.0,1779
682,08Ab8342b3A,1,0.0,945
683,08AbA98A80A,1,0.0,1945
684,08Abb60580A,1,0.0,813
685,08b32A90662,1,4160.0,1058
686,08b36209b6b,1,0.0,963
687,08b5bAb5608,1,32500.0,1050
688,08b839A2b46,2,38650.0,934
689,08b88824489,1,26000.0,802
690,08b93223650,1,0.0,1366
691,08bA445Ab43,1,0.0,1380
692,08bA66A0989,1,0.0,1378
693,0900bA02680,1,0.0,1377
694,090264AA669,1,30225.0,1377
695,09026bb86A9,1,0.0,1234
696,09054885bA8,1,38100.0,2100
697,09096050b62,2,45802.0,1080
698,09200b98659,1,0.0,1381
699,092082606b4,1,0.0,1199
700,09209938429,1,0.0,1372
701,0922A3436bb,1,0.0,1022
702,09262A26808,1,0.0,958
703,092b2b5538b,1,14616.0,884
704,0935b329692,1,26000.0,1331
705,09385858866,2,0.0,555
706,093A4599b44,1,5900.0,1885
707,0940646b909,2,20900.0,517
708,0943A496b39,1,0.0,1198
709,0944b096484,2,42231.0,378
710,094A02566b4,1,17115.0,694
711,094A60A6683,1,0.0,471
712,09556b39b69,1,8000.0,1246
713,0955994b486,1,0.0,1283
714,0959308A640,1,26000.0,931
715,09598b32444,1,0.0,1367
716,0960636b65b,1,0.0,1225
717,09626A23249,2,24500.0,3
718,09645046696,1,0.0,1363
719,09658008b39,3,42857.0,489
720,096835A9644,1,26000.0,720
721,09685953b59,2,0.0,152
722,09692993620,1,0.0,1187
723,09694440b93,3,87488.16,421
724,09694856892,1,0.0,1358
725,09699226633,2,31344.0,246
726,09802943630,1,9810.0,583
727,09803896660,2,0.0,107
728,09804354802,1,0.0,1339
729,09806448952,1,30920.0,1062
730,098096bA636,1,26000.0,703
731,0982580690b,1,0.0,1365
732,0982bA29A04,4,30400.0,23
733,098443253A5,1,0.0,1122
734,09859206880,1,11970.0,936
735,0985bb09b02,1,4400.0,1337
736,09864656660,1,0.0,1372
737,0989bA5663A,3,2500.0,1122
738,098b48554b9,1,0.0,477
739,098bb4026A0,1,34785.0,1263
740,0992349A684,1,30620.0,2064
741,0995A092659,1,4301.95,279
742,09962245648,1,17096.44,1195
743,099A4659624,1,30620.0,2091
744,099bAA3bb4b,2,5950.0,181
745,09A0083A69b,3,27445.5,1067
746,09A20303645,2,7191.0,254
747,09A203046Ab,3,20026.0,254
748,09A2248A656,1,0.0,805
749,09A35AbA863,3,49005.0,446
750,09A40bb6603,1,28192.5,813
751,09A506A3685,1,0.0,30
752,09A548b86A6,1,0.0,581
753,09A63bb9b06,1,0.0,1693
754,09A6A000b36,1,0.0,478
755,09A8443A644,3,38453.0,105
756,09A9265bb45,1,0.0,1192
757,09AbAAAA840,1,4950.0,447
758,09b6526085b,1,0.0,477
759,09b69588b25,1,0.0,1107
760,09bA506680A,2,28055.0,1161
